total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.5,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Male,No,Sun,Dinner,4
8.77,2.0,Male,No,Sun,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
15.04,3.0,Male,No,Sun,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
10.27,1.71,Male,No,Sun,Dinner,2
35.26,5.0,Female,No,Sun,Dinner,4
15.42,1.57,Male,No,Sun,Dinner,2
18.43,3.0,Female,No,Sun,Dinner,4
14.83,3.02,Female,No,Sun,Dinner,2
21.58,3.92,Male,No,Sun,Dinner,2
10.33,1.67,Female,No,Sun,Dinner,3
16.29,3.71,Male,No,Sun,Dinner,3
16.97,3.5,Female,No,Sun,Dinner,3
20.65,3.35,Female,No,Sat,Dinner,3
17.92,4.08,Male,No,Sat,Dinner,2
20.29,2.75,Male,No,Sat,Dinner,2
15.77,2.23,Female,No,Sat,Dinner,2
39.42,7.58,Male,No,Sat,Dinner,4
19.82,3.18,Male,No,Sat,Dinner,2
17.81,2.34,Male,No,Sat,Dinner,4
13.37,2.0,Male,No,Sat,Dinner,2
12.69,2.0,Female,No,Sat,Dinner,2
21.7,4.3,Male,No,Sat,Dinner,2
19.65,3.0,Female,No,Sat,Dinner,2
9.55,1.45,Male,No,Sat,Dinner,2
18.35,2.5,Female,No,Sat,Dinner,4
15.06,3.0,Male,No,Sat,Dinner,2
20.69,2.45,Female,No,Sat,Dinner,4
17.78,3.27,Female,No,Sat,Dinner,2
24.06,3.6,Female,No,Sat,Dinner,3
16.31,2.0,Male,No,Sat,Dinner,2
16.93,3.07,Female,No,Fri,Dinner,3
18.69,2.31,Female,No,Fri,Dinner,3
31.27,5.0,Male,No,Fri,Dinner,3
16.04,2.24,Male,No,Fri,Dinner,3
17.46,2.54,Female,No,Fri,Dinner,2
13.94,3.06,Male,No,Fri,Dinner,2
9.68,1.32,Male,Yes,Fri,Dinner,2
30.4,5.6,Male,Yes,Fri,Dinner,4
18.29,3.76,Female,Yes,Fri,Dinner,2
22.23,5.0,Male,Yes,Fri,Dinner,2
32.4,6.0,Male,Yes,Fri,Dinner,4
28.55,2.05,Female,Yes,Fri,Dinner,3
18.04,3.0,Female,Yes,Fri,Dinner,2
12.54,2.5,Male,Yes,Fri,Dinner,2
10.29,2.6,Male,Yes,Fri,Dinner,2
34.81,5.2,Male,Yes,Fri,Dinner,4
9.94,1.56,Female,Yes,Fri,Dinner,2
25.56,4.34,Female,Yes,Fri,Dinner,4
19.49,3.51,Male,Yes,Fri,Dinner,2
38.01,3.0,Male,Yes,Fri,Dinner,4
26.41,1.5,Male,Yes,Fri,Dinner,2
11.24,1.76,Male,Yes,Fri,Dinner,2
48.27,6.73,Male,Yes,Thur,Lunch,4
20.29,3.21,Female,Yes,Thur,Lunch,2
13.81,2.0,Male,Yes,Thur,Lunch,2
11.02,1.98,Male,Yes,Thur,Lunch,2
18.29,3.76,Female,Yes,Thur,Lunch,2
22.23,5.0,Male,Yes,Thur,Lunch,2
32.4,6.0,Male,Yes,Thur,Lunch,4
28.55,2.05,Female,Yes,Thur,Lunch,3
18.04,3.0,Female,Yes,Thur,Lunch,2
12.54,2.5,Male,Yes,Thur,Lunch,2
10.29,2.6,Male,Yes,Thur,Lunch,2
34.81,5.2,Male,Yes,Thur,Lunch,4
9.94,1.56,Female,Yes,Thur,Lunch,2
25.56,4.34,Female,Yes,Thur,Lunch,4
19.49,3.51,Male,Yes,Thur,Lunch,2
38.01,3.0,Male,Yes,Thur,Lunch,4
26.41,1.5,Male,Yes,Thur,Lunch,2
11.24,1.76,Male,Yes,Thur,Lunch,2
7.74,1.44,Male,No,Thur,Lunch,2
13.0,2.0,Female,Yes,Thur,Lunch,2
7.74,1.44,Male,No,Thur,Lunch,2
13.0,2.0,Female,Yes,Thur,Lunch,2
7.74,1.44,Male,No,Thur,Lunch,2
13.0,2.0,Female,Yes,Thur,Lunch,2
